# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
8867.6000 M122 656381 3 5226.6000 c77 w112 212 N c77->p30->p23->w112
8890.8000 M148 689890 4 4493.8000 c75 w84 225 N c75->w115->c44->p15->w84
8911.1000 M173 664855 4 3779.1000 w118 c46 237 N w118->c73->w112->p26->c46
8911.2000 M112 952005 2 5559.2000 p12 p28 207 N p12->p1->p28
9061.2000 M142 541080 4 4843.2000 w99 w101 219 N w99->p10->t121->p22->w101
9097.1000 M10 863541 2 8806.1000 c75 p23 153 N c75->c70->p23
9159.3000 M267 864355 1 1244.3000 c74 c42 279 N c74->c42
9168.5000 M179 767122 1 3850.5000 p0 w94 235 N p0->w94
9327.5000 M15 991397 4 8896.5000 t122 w91 151 N t122->w85->p36->w83->w91
9349.8000 M57 601479 3 7642.8000 c43 t121 172 N c43->w119->w89->t121
9356.6000 M273 589551 2 1272.6000 c58 p36 278 N c58->c48->p36
9357.6000 M33 729461 3 8381.6000 p24 p0 160 N p24->c61->c62->p0
9437.2000 M208 501446 4 3268.2000 w91 t120 245 N w91->p32->p33->c53->t120
9460.2000 M271 998284 2 1434.2000 w113 w87 276 N w113->w91->w87
9481.0000 M313 803896 3 246.0000 p37 c50 295 N p37->w87->w91->c50
9512.5000 M191 547102 3 3841.5000 p20 c67 235 N p20->w106->w105->c67
9557.0000 M161 972439 3 4779.0000 w114 c46 220 N w114->c45->w100->c46
9585.7000 M162 697955 2 4781.7000 p35 w112 220 N p35->c55->w112
9592.3000 M96 821242 2 6711.3000 c65 t124 188 N c65->p3->t124
9680.3000 M265 731976 1 1826.3000 p15 w107 269 N p15->w107
9724.2000 M230 918174 3 2905.2000 p34 c43 251 N p34->p16->w100->c43
9727.0000 M192 803181 4 4026.0000 p18 c73 232 N p18->t124->w98->w102->c73
9757.3000 M109 922600 3 6496.3000 w114 p14 191 N w114->w82->p35->p14
9847.3000 M250 721766 4 2425.3000 w113 c63 259 N w113->w115->w83->p33->c63
9910.8000 M118 787394 1 6385.8000 w100 p5 193 N w100->p5
9911.9000 M31 948641 2 8998.9000 w89 c70 150 N w89->w119->c70
9949.3000 M215 782491 2 3571.3000 w104 c53 240 N w104->c63->c53
10094.8000 M126 898385 3 6328.8000 w118 c68 194 N w118->w110->c48->c68
10129.6000 M263 894847 3 2328.6000 c72 w91 261 N c72->c63->p13->w91
10137.7000 M224 647560 2 3490.7000 c58 c69 241 N c58->p27->c69
10167.1000 M163 755220 1 5335.1000 w89 c72 211 N w89->c72
10195.0000 M321 616894 2 729.0000 p24 c57 287 N p24->p23->c57
10280.8000 M322 828359 2 786.8000 w92 p14 286 N w92->p10->p14
10388.9000 M255 843085 2 2816.9000 w110 w100 253 N w110->p22->w100
10408.5000 M66 762094 2 8435.5000 w87 p21 159 N w87->w85->p21
10435.9000 M251 718162 3 2985.9000 c78 c60 250 N c78->c42->c65->c60
10444.0000 M212 697308 2 4156.0000 w100 p26 230 N w100->w103->p26
10454.2000 M218 973449 3 3991.2000 w98 t121 233 N w98->p9->c47->t121
10527.1000 M130 856906 2 6654.1000 w99 p29 189 N w99->c77->p29
10583.1000 M143 941589 2 6336.1000 p13 w110 194 N p13->p30->w110
10593.0000 M312 531806 1 1389.0000 w90 c71 276 N w90->c71
10607.5000 M261 754136 1 2865.5000 c60 p29 252 N c60->p29
10665.8000 M327 560289 3 1031.8000 w104 c49 282 N w104->c76->c78->c49
10668.5000 M282 507563 4 2329.5000 p25 w89 261 N p25->p2->c75->c49->w89
10673.2000 M234 915445 4 3737.2000 p21 c45 237 N p21->w86->c57->p10->c45
10759.7000 M345 590160 1 609.7000 w89 p12 289 N w89->p12
10772.9000 M183 951280 4 5340.9000 c65 p23 210 N c65->p38->w99->p37->p23
10776.4000 M2 977273 1 10718.4000 c76 w110 121 N c76->w110
10820.7000 M213 745605 2 4502.7000 w104 c51 224 N w104->c79->c51
10865.2000 M277 770451 1 2662.2000 p34 w103 255 N p34->w103
10880.6000 M174 952886 3 5717.6000 c58 p14 204 N c58->w117->c45->p14
10931.7000 M311 616734 3 1757.7000 w87 c47 270 N w87->w91->c48->c47
10935.1000 M365 549861 1 192.1000 t120 w111 296 N t120->w111
11025.1000 M319 647384 2 1620.1000 w94 p17 272 N w94->c71->p17
