# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
10417.8000 M212 697308 3 4129.8000 w100 p26 231 N w100->w103->w105->p26
10593.0000 M312 531806 1 1389.0000 w90 c71 276 N w90->c71
10607.5000 M261 754136 1 2865.5000 c60 p29 252 N c60->p29
10652.2000 M74 766315 2 8438.2000 p6 c41 159 N p6->p31->c41
10759.7000 M345 590160 1 609.7000 w89 p12 289 N w89->p12
10807.9000 M209 714314 2 4613.9000 w100 t123 223 N w100->w105->t123
10832.0000 M60 686270 3 9031.0000 p29 p28 149 N p29->w107->c46->p28
10833.7000 M148 689890 3 6436.7000 c75 w84 192 N c75->p38->p37->w84
10865.2000 M277 770451 1 2662.2000 p34 w103 255 N p34->w103
10865.7000 M180 766653 2 5513.7000 c76 p5 208 N c76->p26->p5
10904.3000 M189 574913 2 5299.3000 w116 p27 211 N w116->w108->p27
10909.1000 M232 569382 2 4026.1000 c58 w95 232 N c58->t123->w95
10935.1000 M365 549861 1 192.1000 t120 w111 296 N t120->w111
10950.8000 M90 663625 3 8259.8000 w97 w119 162 N w97->p36->p33->w119
10992.7000 M147 664885 4 6621.7000 c54 w116 189 N c54->w84->p18->c71->w116
11041.2000 M320 714807 2 1609.2000 p15 p7 273 N p15->p27->p7
11080.3000 M84 745447 4 8578.3000 p29 c75 157 N p29->w111->w91->p33->c75
11130.7000 M299 796314 2 2302.7000 w112 p14 261 N w112->c47->p14
11189.1000 M185 502540 1 5702.1000 t120 c45 204 N t120->c45
11309.9000 M238 626897 4 4253.9000 w115 c47 229 N w115->w83->c63->w112->c47
11323.7000 M220 882837 1 4801.7000 c40 w115 219 N c40->w115
11330.8000 M252 993036 1 3853.8000 c65 c75 235 N c65->c75
11374.6000 M341 721375 1 1340.6000 w85 p28 277 N w85->p28
11383.3000 M222 741424 1 4800.3000 w119 c69 219 N w119->c69
11498.2000 M372 906989 1 555.2000 c66 c58 290 N c66->c58
11567.1000 M123 660979 3 7894.1000 w97 c44 168 N w97->w84->p38->c44
11615.7000 M151 610562 3 7134.7000 c69 w106 181 N c69->w101->c61->w106
11617.4000 M245 569042 3 4342.4000 c62 p9 227 N c62->p31->w117->p9
11636.4000 M168 635411 4 6658.4000 w82 c45 189 N w82->t125->t124->w99->c45
11639.5000 M128 883370 4 7823.5000 p26 c55 169 N p26->p21->c44->p27->c55
11656.9000 M235 503057 4 4691.9000 c45 w88 221 N c45->w100->p30->c77->w88
11666.3000 M207 923599 2 5523.3000 c72 p22 207 N c72->c74->p22
11898.0000 M91 920835 3 9174.0000 c71 t121 147 N c71->p28->t123->t121
11920.0000 M85 821486 2 9387.0000 p6 t124 143 N p6->p31->t124
11936.4000 M171 689925 2 6865.4000 p16 w82 185 N p16->c56->w82
11939.8000 M155 828379 4 7337.8000 w82 p24 177 N w82->w102->p2->p16->p24
11942.9000 M115 753632 4 8507.9000 c48 p24 158 N c48->p28->w115->p16->p24
11944.4000 M389 930574 1 508.4000 c56 w105 291 N c56->w105
12032.1000 M110 839088 4 8744.1000 c77 p39 154 N c77->c66->c52->c72->p39
12076.7000 M367 723002 1 1269.7000 c58 w118 278 N c58->w118
12079.7000 M32 531670 6 11134.7000 p2 c48 114 N p2->c73->w112->w97->p6->p2->c48
12114.6000 M109 922600 3 8853.6000 w114 p14 152 N w114->w87->w85->p14
12115.2000 M384 780067 1 827.2000 c51 w84 286 N c51->w84
12189.4000 M256 678857 1 4586.4000 c61 p39 223 N c61->p39
12211.3000 M307 981312 2 3156.3000 c55 c64 247 N c55->c42->c64
12235.0000 M154 757661 3 7662.0000 p34 c42 172 N p34->p19->w98->c42
12262.3000 M184 753114 1 6805.3000 c78 p26 186 N c78->p26
12358.6000 M336 506099 1 2467.6000 c46 c63 258 N c46->c63
12362.6000 M204 736264 2 6302.6000 p24 c67 194 N p24->w86->c67
12469.6000 M409 987620 1 436.6000 w85 p6 292 N w85->p6
12473.6000 M149 642191 5 8050.6000 p22 w95 165 N p22->p35->w100->p30->t120->w95
12473.6000 M182 706440 2 7069.6000 c77 c69 182 N c77->w93->c69
12520.4000 M111 674532 2 9201.4000 p35 p12 146 N p35->w100->p12
12547.5000 M317 708700 2 3192.5000 c51 w110 246 N c51->c79->w110
